UTC,latitude,longitude,CTEratio
1.1376e+06,43.32787323,-16.59746552,0.01606559
1.1412e+06,43.31289291,-16.63399887,0.01582046
1.1448e+06,43.29771423,-16.67037582,0.01562390
1.1484e+06,43.28252411,-16.70675278,0.01542430
1.152e+06,43.26734924,-16.74312210,0.01521927
1.1556e+06,43.25197983,-16.77933311,0.01506119
1.1592e+06,43.23681641,-16.81567383,0.01484776
1.1628e+06,43.22165680,-16.85202026,0.01463135
1.1664e+06,43.20648575,-16.88835526,0.01441289
1.17e+06,43.19113541,-16.92454529,0.01423785
1.1736e+06,43.17598343,-16.96086311,0.01401070
1.1772e+06,43.16062546,-16.99703598,0.01382964
1.1808e+06,43.14545059,-17.03333664,0.01360106
1.1844e+06,43.13009644,-17.06948853,0.01341527
1.188e+06,43.11472321,-17.10563850,0.01322901
1.1916e+06,43.09954071,-17.14191437,0.01299220
1.1952e+06,43.08417130,-17.17802429,0.01280135
1.1988e+06,43.06879425,-17.21412659,0.01260904
1.2024e+06,43.05340958,-17.25022125,0.01241519
1.206e+06,43.03801346,-17.28630829,0.01222080
1.2096e+06,43.02264786,-17.32238960,0.01201573
1.2132e+06,43.00728989,-17.35845566,0.01180830
1.2168e+06,42.99191666,-17.39452362,0.01160021
1.2204e+06,42.97655487,-17.43057442,0.01138646
1.224e+06,42.96118927,-17.46661949,0.01117209
1.2276e+06,42.94562531,-17.50251961,0.01100173
1.2312e+06,42.93027115,-17.53854752,0.01077866
1.2348e+06,42.91468811,-17.57443047,0.01060656
1.2384e+06,42.89930344,-17.61044502,0.01038284
1.242e+06,42.88392639,-17.64645195,0.01015385
1.2456e+06,42.86835861,-17.68231583,0.32546103
1.2492e+06,42.84251404,-17.70467186,0.31276700
1.2528e+06,42.81669235,-17.72702217,0.30013334
1.2564e+06,42.79082870,-17.74934578,0.28754819
1.26e+06,42.76494980,-17.77166367,0.27502834
1.2636e+06,42.73889923,-17.79348373,0.26261228
1.2672e+06,42.71281433,-17.81524467,0.25028709
1.2708e+06,42.68672562,-17.83700371,0.23807048
1.2744e+06,42.66064072,-17.85875130,0.22598403
1.278e+06,42.63459396,-17.88049316,0.21405772
1.2816e+06,42.60853577,-17.90223312,0.20230228
1.2852e+06,42.58244324,-17.92396164,0.19074477
1.2888e+06,42.55636978,-17.94568253,0.17944209
1.2924e+06,42.53028107,-17.96738434,0.16843358
1.296e+06,42.50419998,-17.98906898,0.15779128
1.2996e+06,42.47813797,-18.01074982,0.14759097
1.3032e+06,42.45204544,-18.03242874,0.13791747
1.3068e+06,42.42594910,-18.05408478,0.12890286
1.3104e+06,42.39986038,-18.07574081,0.12069224
1.314e+06,42.37378311,-18.09739494,0.11345922
1.3176e+06,42.34783173,-18.11943626,0.10733804
1.3212e+06,42.32196045,-18.14161110,0.10256862
1.3248e+06,42.29617691,-18.16399384,0.09932710
1.3284e+06,42.27051926,-18.18667030,0.09743348
1.332e+06,42.24487686,-18.20932961,0.09568203
1.3356e+06,42.21920776,-18.23188400,0.09394681
1.3392e+06,42.19335175,-18.25399590,0.09229034
1.3428e+06,42.16749191,-18.27610588,0.09063169
1.3464e+06,42.14163971,-18.29820633,0.08897064
1.35e+06,42.11577225,-18.32029152,0.08730934
1.3536e+06,42.08970261,-18.34189224,0.08573516
1.3572e+06,42.06363297,-18.36344528,0.08416544
1.3608e+06,42.03757095,-18.38498497,0.08259448
1.3644e+06,42.01150131,-18.40651321,0.08102305
1.368e+06,41.98535538,-18.42785835,0.07948166
1.3716e+06,41.95904922,-18.44882393,0.07800896
1.3752e+06,41.93274307,-18.46978951,0.07653247
1.3788e+06,41.90645599,-18.49074173,0.07505398
1.3824e+06,41.88017654,-18.51168633,0.07357298
1.386e+06,41.85374451,-18.53231049,0.07215046
